departamento_id,nombre
33,"Lomas del Río Luján (Est. Río Luján)"
34,"Alejandro Petión"
34,"Barrio El Taladro"
34,Cañuelas
34,"Gobernador Udaondo"
34,"Máximo Paz"
34,"Santa Rosa"
34,Uribelarrea
34,"Vicente Casares"
35,"Capitán Sarmiento"
35,"La Luisa"
36,Bellocq
36,Cadret
36,"Carlos Casares"
36,"Colonia Mauricio"
36,Hortensia
36,"La Sofía"
36,"Mauricio Hirsch"
36,Moctezuma
36,Ordoqui
36,Smith
37,"Carlos Tejedor"
37,"Colonia Seré"
37,Curarú
37,Timote
37,"Tres Algarrobos (Est. Cuenca)"
38,"Carmen de Areco"
38,"Pueblo Gouin"
38,"Tres Sargentos"
39,Castelli
39,"Centro Guerrero"
40,Colón
40,"El Arbolito"
40,Pearson
40,Sarasa
41,"Bajo Hondo"
41,"Balneario Pehuen Co"
41,"Punta Alta (Est. Almirante Solier)"
41,"Villa del Mar"
41,"Villa General Arias (Est. Kilómetro 638)"
42,Aparicio
42,"Balneario Marisol"
42,"Coronel Dorrego"
42,"El Perdido (Est. José A. Guisasola)"
42,Faro
42,Irene
42,Oriente
42,"San Román"
43,"Coronel Pringles (Est. Pringles)"
43,"El Divisorio"
43,"El Pensamiento"
43,"Indio Rico"
43,Lartigau
44,Cascadas
44,"Coronel Suárez"
44,"Cura Malal"
44,D'Orbigny
44,Huanguelén
44,Pasman
44,"San José"
44,"Santa María"
44,"Santa Trinidad"
44,"Villa La Arcadia"
45,Castilla
45,Chacabuco
45,"Los Angeles"
45,O'Higgins
45,Rawson
46,Chascomús
46,"Manuel J. Cobo (Est. Lezama)"
46,"Villa Parque Girado"
47,Chivilcoy
47,"Emilio Ayarza"
47,Gorostiaga
47,"La Rica"
47,Moquehuá
47,"Ramón Biaus"
47,"San Sebastián"
48,Andant
48,Arboledas
48,Daireaux
48,"La Larga"
48,"La Manuela"
48,Salazar
49,Dolores
49,Sevigne
50,Ensenada
51,Escobar
51,"Puerto Paraná"
52,"Esteban Echeverría"
53,"Arroyo de la Cruz"
53,"Capilla del Señor (Est. Capilla)"
53,"Diego Gaynor"
53,"Los Cardales"
53,"Parada Orlando"
53,"Parada Robles - Pavón"
54,Ezeiza
55,"Florencio Varela"
55,"La Capilla"
56,Blaquier
56,"Florentino Ameghino"
56,Porvenir
57,"Comandante Nicanor Otamendi"
57,"Mar del Sur"
57,Mechongué
57,Miramar
58,"General Alvear"
59,Arribeños
59,Ascensión
59,"Estación Arenales"
59,Ferré
59,"General Arenales"
59,"La Angelita"
59,"La Trinidad"
60,"General Belgrano"
60,Gorchs
61,"General Guido"
61,Labardén
62,"General Juan Madariaga"
63,"General La Madrid"
63,"La Colina"
63,"Las Martinetas"
63,Líbano
63,Pontaut
64,"General Hornos"
64,"General Las Heras (Est. Las Heras)"
64,"La Choza"
64,Lozano
64,Plomer
64,Villars
65,"Chacras de San Clemente"
65,"General Lavalle"
65,Pavón
66,"Barrio Río Salado"
66,"Loma Verde"
66,Ranchos
66,"Villanueva  (Ap. Río Salado)"
67,"Colonia San Ricardo (Est. Iriarte)"
67,"General Pinto"
67,"Germania (Est. Mayor José Orellano)"
67,"Villa Francia (Est. Coronel Granada)"
67,"Villa Roth (Est. Ingeniero Balbín)"
68,"Barrio Colinas Verdes"
68,"Barrio El Boquerón"
68,"Barrio El Casal"
68,"Barrio El Coyunco"
68,"Barrio La Gloria"
68,"Barrio Santa Paula"
68,Batán
68,Chapadmalal
68,"El Marquesado"
68,"Estación Chapadmalal"
68,"Mar del Plata"
68,"Sierra de los Padres"
69,"Barrio Ruta 24 Kilómetro 10"
69,"Country Club Bosque Real - Barrio Morabo"
69,"General Rodríguez"
70,"General San Martín"
71,Baigorrita
71,"La Delfina"
71,"Los Toldos"
71,"San Emilio"
71,Zavalía
72,Banderalo
72,"Cañada Seca"
72,"Coronel Charlone"
72,"Emilio V. Bunge"
72,"General Villegas (Est. Villegas)"
72,"Massey (Est. Elordi)"
72,Pichincha
72,Piedritas
72,"Santa Eleodora"
72,"Santa Regina"
72,"Villa Saboya"
72,"Villa Sauze"
73,"Arroyo Venado"
73,Casbas
73,Garré
73,Guaminí
73,"Laguna Alsina (Est. Bonifacio)"
74,Henderson
74,"Herrera Vegas"
75,Hurlingham
76,Ituzaingó
77,"José C. Paz"
78,"Agustín Roca"
78,Agustina
78,"Balneario Laguna de Gómez"
78,"Fortín Tiburcio"
78,Junín
78,Laplacette
78,Morse
78,Saforcada
79,"Las Toninas"
79,"Mar de Ajó - San Bernardo"
79,"San Clemente del Tuyú"
79,"Santa Teresita - Mar del Tuyú"
80,"La Matanza"
81,Lanús
82,"Country Club El Rodeo"
82,"Ignacio Correas"
82,"La Plata"
82,"Lomas de Copello"
82,"Ruta Sol"
83,Laprida
83,"Pueblo Nuevo"
83,"Pueblo San Jorge"
84,"Coronel Boerr"
84,"El Trigo"
84,"Las Flores"
84,Pardo
85,"Alberdi Viejo"
